Year,Arable Land(hect),Forest area(sq km),Electric power consumption(kWh per capita),GDP in USD,Unemployment(% of total labor force),Cereal production (metric tons),Fertility rate,Population,Military expenditure(% of GDP)
2013,52.617558918199,23.6531133227274,765.563845576737,1856722121394.53,3.59999990463257,294909510,2.425,1278562207,2.47272635957877
2012,52.6525381828945,23.5931104302113,724.79118848033,1827637859135.7,3.70000004768372,293290000,2.475,1263065852,2.53734581156877
2011,52.7981730060978,23.5331075376952,698.547812717171,1823049927771.46,3.70000004768372,287860000,2.534,1247236029,2.65149707220294
2010,52.8082631786061,23.4731046451791,642.111615380326,1656617073124.21,3.59999990463257,267838308,2.601,1230980691,2.79219278711913
2009,53.1160134401098,23.3331203185804,600.201702070689,1323940295874.9,3.90000009536743,250783392,2.673,1214270132,2.98404574515379
2008,53.1398935150461,23.1931359919817,562.899170204262,1186952757635.85,4.09999990463257,266835300,2.748,1197146906,2.62999879415134
2007,53.1489746703036,23.053151665383,543.358645377253,1201111768409.39,3.70000004768372,260485904,2.823,1179681239,2.415943897387
2006,53.3642316838144,22.9131673387843,510.751617949053,920316529729.61,4.30000019073486,242785588,2.897,1161977719,2.60588217980416
2005,53.6272488471978,22.7731830121856,469.45392309889,808901077222.092,4.40000009536743,239997492,2.969,1144118674,2.84111931090425
2004,53.7069612100135,22.617188945207,453.010205713409,699688852930.441,3.90000009536743,229845504,3.038,1126135777,2.91727477332677
2003,53.7466492218795,22.4611948782284,431.84113184852,599592902016.212,3.90000009536743,236592700,3.107,1108027848,2.76157485993322
2002,53.959551861805,22.3052008112499,411.967397768276,508068952065.959,4.30000019073486,206636708,3.175,1089807112,2.91533035377874
2001,53.9235635798587,22.1492067442713,395.104759304615,478965491061.694,4,242963796,3.243,1071477855,3.01595236955832
2000,54.127048725443,21.9932126772927,394.963809689004,462146799336.77,4.30000019073486,234931192,3.311,1053050912,3.04121325241003
1999,54.1421839842055,21.9444098762608,393.373198901284,452699998386.955,4.19999980926514,236205608,3.379,1034539214,3.04973766014697
1998,54.2881551464925,21.895607075229,387.196900449943,415730874172.06,3.79999995231628,226877000,3.446,1015974042,2.81265946929495
1997,54.3527322505457,21.8468042741971,376.80067793663,410320300471.227,4.40000009536743,223232400,3.514,997405318,2.73059014585519
1996,54.1590009383861,21.7980014731652,361.092501062861,387656017799.599,4,218750900,3.582,978893217,2.55015064347754
1995,54.456997366465,21.7491986721333,360.047053211401,355475984176.175,4,210012500,3.651,960482795,2.65917422919871
1994,54.6635095638018,21.7003958711014,342.46183918451,322909902308.131,3.70000004768372,211941400,3.723,942204249,2.74806160570145
1993,54.6840262479021,21.6515930700695,321.711471437074,275570363432.31,4.30000019073486,208626900,3.799,924057817,2.91190173018785
1992,54.7243869379354,21.6027902690376,305.535928651976,284363884079.92,4.09999990463257,201468404,3.877,906021106,2.78948453135237
1991,54.884484341734,21.5539874680057,291.953805219525,266502281092.721,4.09999990463257,193101196,3.959,888054875,3.00103860413598
1990,54.9776502678941,21.5051846669739,273.04661349199,316697337894.532,,193919312,4.045,870133480,3.24467175236409
1989,54.9833680323155,,257.964015193804,292093308316.929,,199413216,4.132,852270034,3.53042148188704
1988,54.7788738694803,,240.882650862727,292632656261.441,,183867008,4.222,834489322,3.72747901157101
1987,54.892220140657,,220.999760329653,275311425330.609,,156114500,4.311,816792741,3.94881355174646
1986,54.9608333137136,,208.703546512309,245664654064.834,,164955216,4.399,799181436,3.82972561047425
1985,55.0048937336665,,194.201704680332,229410293755.209,,165682196,4.484,781666671,3.33385810533854
1984,55.0311281821881,,183.922646334128,209328156804.186,,164477600,4.563,764245202,3.17678112045152
1983,54.7331317541092,,166.237572929454,215350771423.861,,166781704,4.636,746949067,3.10634797242149
1982,54.906010043085,,158.613609499284,198037712680.328,,136101404,4.703,729868013,3.12504177720482
1981,54.7936727891591,,152.361874366402,190909548793.872,,147583816,4.766,713118032,2.98605439826936
1980,54.7741651223097,,142.148884959918,183839864648.794,,140490600,4.827,696783517,2.9375030007563
1979,54.9726051816399,,136.156334535598,150950826964.984,,126470304,4.889,680915804,3.05914601041153
1978,54.9036556694998,,136.325602753303,135468782810.558,,142964696,4.956,665502284,2.93008194621053
1977,54.5067755508393,,126.630123986097,119866746569.343,,138062904,5.029,650485030,2.96044069199207
1976,54.5061028726721,,124.486503201478,101346972433.237,,121625108,5.108,635771734,3.25916098473187
1975,54.4324446133614,,114.891038769376,97159222028.3357,,127807800,5.192,621301720,3.31112078035056
1974,54.3190983421847,,104.292848044352,98198276856.9136,,106793000,5.278,607050255,2.99512183526724
1973,54.1653913809746,,100.922517773554,84374541625.3338,,119648216,5.363,593058926,2.95231489740827
1972,53.8768124472368,,100.595170603729,70509913046.8528,,108615456,5.444,579411513,3.47932654477368
1971,53.7321866412843,,98.056458889336,66452561868.4154,,113238296,5.519,566224812,3.41674270768231
1970,54.0026032645071,,,61589800520,,113909504,5.587,553578513,2.97608800676575
1969,53.8061812396786,,,57668330026.6667,,106291244,5.648,541505076,2.93303678561732
1968,53.8374607744544,,,52377324280,,102443708,5.702,529967317,3.02968257443537
1967,53.7402587792909,,,49466168893.3333,,95453504,5.751,518889779,3.00757743447126
1966,53.3400152697944,,,45253641300,,80137608,5.794,508161935,3.3346961376375
1965,53.2142244525241,,,58760424674.5065,,79699504,5.83,497702365,3.61798777472541
1964,53.0514363360566,,,55726873075.8731,,93706000,5.859,487484535,3.56498467794815
1963,52.9633154961506,,,47776000903.0009,,90373008,5.88,477527970,3.75805689365792
1962,52.7043344017705,,,41599070245.0702,,87257552,5.894,467852537,2.56120163061175
1961,52.4036472610227,,,38709096075.0961,,87376496,5.902,458494963,1.93336534373308
1960,,,,36535925029.925,,,5.906,449480608,1.86601456294668
