Google Flu Trends - Canada
Copyright 2015 Google Inc.

Exported data may be used for any purpose, subject to the Google Terms of Service (http://www.google.com/accounts/TOS?hl=en_US).
If you choose to use the data, please attribute it to Google as follows: "Data Source: Google Flu Trends (http://www.google.org/flutrends)".

Each week begins on the Sunday (Pacific Time) indicated for the row.
Data for the current week will be updated each day until Saturday (Pacific Time).
Note: To open these files in a spreadsheet application, we recommend you save each text file as a CSV spreadsheet.
For more information, please visit http://www.google.org/flutrends

Date,Canada,Alberta,British Columbia,Manitoba,New Brunswick,Newfoundland and Labrador,Nova Scotia,Ontario,Saskatchewan,Quebec
2003-09-28,1280,,1353,,,,,1349,,960
2003-10-05,1339,2309,1161,1977,,,,1323,,1278
2003-10-12,1451,2615,1546,2313,,,,1119,,1344
2003-10-19,1593,2910,1813,1958,,,1805,1213,,1377
2003-10-26,1895,4793,1883,1560,1600,,1955,1492,3076,1138
2003-11-02,1995,4046,2341,3915,1602,,1819,1515,5124,1318
2003-11-09,2335,4561,2933,3332,1659,2280,2157,1675,5106,1676
2003-11-16,2731,5153,4054,5457,1726,2126,2789,2616,4186,1595
2003-11-23,3138,4990,4492,6033,2587,2247,3173,3346,4086,1936
2003-11-30,4229,4396,6261,5861,3921,2198,5128,5161,3710,2148
2003-12-07,5303,3784,6341,4743,8645,2058,5978,7114,3075,2882
2003-12-14,7531,4575,8200,4523,7865,2408,6233,10278,3691,3380
2003-12-21,7014,5033,6185,4878,8943,2557,8247,9802,4107,3599
2003-12-28,4950,3750,3906,3410,7092,9738,7480,6056,4257,3157
2004-01-04,3649,3751,3252,2987,9049,10215,6616,3782,2886,2439
2004-01-11,2866,2239,2421,2836,4629,7068,4969,2911,2715,2410
2004-01-18,2230,2575,1814,2767,3541,5875,4107,2190,2031,2127
2004-01-25,2155,1811,1381,2225,3238,4485,3126,2065,1692,2833
2004-02-01,1699,1542,1569,1884,2836,3840,2402,1526,1440,1917
2004-02-08,1649,1181,1071,1721,2390,3168,2418,1833,1341,1789
2004-02-15,1700,1223,1696,1877,1911,2803,2470,1754,1642,1555
2004-02-22,1580,1585,1536,1432,1732,2269,2251,1696,1377,1513
2004-02-29,1427,1112,1393,1072,1668,2286,1897,1525,1512,1309
2004-03-07,1409,1530,1248,935,1882,2167,1567,1562,1338,1152
2004-03-14,1404,1302,1640,1375,1936,1867,1590,1341,1319,1308
2004-03-21,1424,1719,1252,1490,1980,1842,2160,1522,1532,1013
2004-03-28,1111,1107,984,1357,1677,1976,2373,1092,1516,823
2004-04-04,1178,1169,870,1182,1698,1896,1656,1165,1355,1256
2004-04-11,1425,1349,1219,1612,1673,1887,1433,1464,1313,1266
2004-04-18,1163,840,1145,1870,1336,1874,1221,1055,1172,1365
2004-04-25,1043,1102,1118,1382,1222,1742,1478,1075,1007,984
2004-05-02,786,842,848,1196,1160,1606,1363,730,930,637
2004-05-09,895,1275,738,1237,1097,1456,1122,757,1023,640
2004-05-16,684,817,561,1006,1006,1409,1037,674,1246,575
2004-05-23,743,926,675,814,811,1292,960,779,1476,631
2004-05-30,1041,1217,1018,628,905,1289,904,934,1850,994
2004-06-06,792,876,723,624,955,1191,878,733,1513,802
2004-06-13,819,668,853,672,1189,1089,883,920,1468,389
2004-06-20,755,828,763,1118,1196,1077,823,717,1545,398
2004-06-27,711,933,520,1573,1451,1015,906,625,1426,572
2004-07-04,752,785,740,1479,1555,1144,940,755,1224,631
