,Zip Code,City,County,State,County Number,Area (sqkm)
0,50001,ACKWORTH,Warren,IA,91,62.796656
1,50002,ADAIR,Guthrie,IA,39,279.202219
2,50003,ADEL,Dallas,IA,25,298.086291
3,50005,ALBION,Marshall,IA,64,69.623573
4,50006,ALDEN,Hardin,IA,42,317.74515
5,50007,ALLEMAN,Polk,IA,77,13.782897
6,50008,ALLERTON,Wayne,IA,93,220.623573
7,50009,ALTOONA,Polk,IA,77,65.207113
8,50010,AMES,Story,IA,85,155.294118
9,50011,AMES,Story,IA,85,0.125094
10,50012,AMES,Story,IA,85,1.982622
11,50012,AMES,Story,IA,85,1.982622
12,50014,AMES,Story,IA,85,144.826088
13,50020,ANITA,Cass,IA,15,249.128489
14,50021,ANKENY,Polk,IA,77,66.725924
15,50022,ATLANTIC,Cass,IA,15,431.883311
16,50023,ANKENY,Polk,IA,77,57.424136
17,50025,AUDUBON,Audubon,IA,5,507.431421
18,50026,BAGLEY,Guthrie,IA,39,142.869501
19,50027,BARNES CITY,Mahaska,IA,62,72.89173
20,50028,BAXTER,Jasper,IA,50,114.933651
21,50029,BAYARD,Guthrie,IA,39,105.03836
22,50032,BERWICK,Polk,IA,77,0.95539
23,50033,BEVINGTON,Warren,IA,91,0.288201
24,50034,BLAIRSBURG,Hamilton,IA,40,163.484203
25,50035,BONDURANT,Polk,IA,77,116.89815
26,50036,BOONE,Boone,IA,8,505.063491
27,50038,BOONEVILLE,Dallas,IA,25,8.874239
28,50039,BOUTON,Dallas,IA,25,60.662047
29,50041,BRADFORD,Franklin,IA,35,1.101427
30,50042,BRAYTON,Audubon,IA,5,84.16259
31,50044,BUSSEY,Marion,IA,63,118.473056
32,50046,CAMBRIDGE,Story,IA,85,119.973352
33,50047,CARLISLE,Warren,IA,91,152.159628
34,50048,CASEY,Guthrie,IA,39,226.57327
35,50049,CHARITON,Lucas,IA,59,523.124656
36,50050,CHURDAN,Greene,IA,37,197.706628
37,50051,CLEMONS,Marshall,IA,64,66.573089
38,50052,CLIO,Wayne,IA,93,50.94063
39,50054,COLFAX,Jasper,IA,50,152.872278
40,50055,COLLINS,Story,IA,85,126.340521
41,50056,COLO,Story,IA,85,149.192377
42,50057,COLUMBIA,Marion,IA,63,52.183538
43,50058,COON RAPIDS,Carroll,IA,14,364.231967
44,50060,CORYDON,Wayne,IA,93,453.610186
45,50061,CUMMING,Warren,IA,91,81.699043
