"Cylinders","Displacement","Horsepower","Weight","Acceleration","Modelyear","Origin","Carname","Class"
8,350,"165.0",74,11.5,70,1,"buick skylark 320","GasGuz"
8,318,"150.0",71,11,70,1,"plymouth satellite","GasGuz"
8,304,"150.0",79,12,70,1,"amc rebel sst","GasGuz"
8,302,"140.0",76,10.5,70,1,"ford torino","GasGuz"
8,429,"198.0",85,10,70,1,"ford galaxie 500","GasGuz"
8,454,"220.0",74,9,70,1,"chevrolet impala","GasGuz"
8,440,"215.0",70,8.5,70,1,"plymouth fury iii","GasGuz"
8,455,"225.0",70,10,70,1,"pontiac catalina","GasGuz"
8,390,"190.0",71,8.5,70,1,"amc ambassador dpl","GasGuz"
8,383,"170.0",85,10,70,1,"dodge challenger se","GasGuz"
8,340,"160.0",85,8,70,1,"plymouth 'cuda 340","GasGuz"
8,400,"150.0",72,9.5,70,1,"chevrolet monte carlo","GasGuz"
8,455,"225.0",85,10,70,1,"buick estate wagon (sw)","GasGuz"
6,198,"95.00",85,15.5,70,1,"plymouth duster","GasGuz"
6,199,"97.00",85,15.5,70,1,"amc hornet","GasGuz"
6,200,"85.00",80,16,70,1,"ford maverick","GasGuz"
6,199,"90.00",82,15,70,1,"amc gremlin","GasGuz"
8,360,"215.0",73,14,70,1,"ford f250","GasGuz"
8,307,"200.0",85,15,70,1,"chevy c20","GasGuz"
8,318,"210.0",75,13.5,70,1,"dodge d200","GasGuz"
8,304,"193.0",76,18.5,70,1,"hi 1200d","GasGuz"
6,232,"100.0",71,13,71,1,"amc gremlin","GasGuz"
6,225,"105.0",85,15.5,71,1,"plymouth satellite custom","GasGuz"
6,250,"100.0",74,15.5,71,1,"chevrolet chevelle malibu","GasGuz"
6,250,"88.00",76,15.5,71,1,"ford torino 500","GasGuz"
6,232,"100.0",78,15.5,71,1,"amc matador","GasGuz"
8,350,"165.0",84,12,71,1,"chevrolet impala","GasGuz"
8,400,"175.0",75,11.5,71,1,"pontiac catalina brougham","GasGuz"
8,351,"153.0",78,13.5,71,1,"ford galaxie 500","GasGuz"
8,318,"150.0",73,13,71,1,"plymouth fury iii","GasGuz"
8,383,"180.0",74,11.5,71,1,"dodge monaco (sw)","GasGuz"
8,400,"170.0",82,12,71,1,"ford country squire (sw)","GasGuz"
8,400,"175.0",70,12,71,1,"pontiac safari (sw)","GasGuz"
6,258,"110.0",84,13.5,71,1,"amc hornet sportabout (sw)","GasGuz"
4,140,"72.00",73,19,71,1,"chevrolet vega (sw)","GasGuz"
6,250,"100.0",81,15,71,1,"pontiac firebird","GasGuz"
6,250,"88.00",80,14.5,71,1,"ford mustang","GasGuz"
4,122,"86.00",79,14,71,1,"mercury capri 2000","GasGuz"
4,97,"54.00",75,23.5,72,2,"volkswagen type 3","GasGuz"
4,140,"90.00",84,19.5,72,1,"chevrolet vega","GasGuz"
4,122,"86.00",73,16.5,72,1,"ford pinto runabout","GasGuz"
8,350,"165.0",71,12,72,1,"chevrolet impala","GasGuz"
8,400,"175.0",79,12,72,1,"pontiac catalina","GasGuz"
8,318,"150.0",74,13.5,72,1,"plymouth fury iii","GasGuz"
8,351,"153.0",81,13,72,1,"ford galaxie 500","GasGuz"
8,304,"150.0",79,11.5,72,1,"amc ambassador sst","GasGuz"
8,429,"208.0",71,11,72,1,"mercury marquis","GasGuz"
8,350,"155.0",76,13.5,72,1,"buick lesabre custom","GasGuz"
8,350,"160.0",83,13.5,72,1,"oldsmobile delta 88 royale","GasGuz"
8,400,"190.0",85,12.5,72,1,"chrysler newport royal","GasGuz"
3,70,"97.00",85,13.5,72,3,"mazda rx2 coupe","GasGuz"
8,304,"150.0",79,12.5,72,1,"amc matador (sw)","GasGuz"
8,307,"130.0",71,14,72,1,"chevrolet chevelle concours (sw)","GasGuz"
8,302,"140.0",74,16,72,1,"ford gran torino (sw)","GasGuz"
8,318,"150.0",82,14,72,1,"plymouth satellite custom (sw)","GasGuz"
4,121,"112.0",77,14.5,72,2,"volvo 145e (sw)","GasGuz"
4,121,"76.00",71,18,72,2,"volkswagen 411 (sw)","GasGuz"
4,120,"87.00",84,19.5,72,2,"peugeot 504 (sw)","GasGuz"
4,122,"86.00",75,16,72,1,"ford pinto (sw)","GasGuz"
4,120,"97.00",79,14.5,72,3,"toyouta corona mark ii (sw)","GasGuz"
8,350,"175.0",76,13,73,1,"buick century 350","GasGuz"
8,304,"150.0",72,11.5,73,1,"amc matador","GasGuz"
8,350,"145.0",85,13,73,1,"chevrolet malibu","GasGuz"
8,302,"137.0",79,14.5,73,1,"ford gran torino","GasGuz"
8,318,"150.0",81,12.5,73,1,"dodge coronet custom","GasGuz"
8,429,"198.0",81,11.5,73,1,"mercury marquis brougham","GasGuz"
8,400,"150.0",77,12,73,1,"chevrolet caprice classic","GasGuz"
8,351,"158.0",80,13,73,1,"ford ltd","GasGuz"
8,318,"150.0",73,14.5,73,1,"plymouth fury gran sedan","GasGuz"
8,440,"215.0",79,11,73,1,"chrysler new yorker brougham","GasGuz"
8,455,"225.0",79,11,73,1,"buick electra 225 custom","GasGuz"
8,360,"175.0",77,11,73,1,"amc ambassador brougham","GasGuz"
6,225,"105.0",85,16.5,73,1,"plymouth valiant","GasGuz"
6,250,"100.0",76,18,73,1,"chevrolet nova custom","GasGuz"
6,232,"100.0",84,16,73,1,"amc hornet","GasGuz"
6,250,"88.00",80,16.5,73,1,"ford maverick","GasGuz"
6,198,"95.00",70,16,73,1,"plymouth duster","GasGuz"
8,400,"150.0",85,14,73,1,"chevrolet impala","GasGuz"
8,400,"167.0",81,12.5,73,1,"ford country","GasGuz"
8,360,"170.0",79,13,73,1,"plymouth custom suburb","GasGuz"
8,350,"180.0",74,12.5,73,1,"oldsmobile vista cruiser","GasGuz"
6,232,"100.0",77,15,73,1,"amc gremlin","GasGuz"
4,97,"88.00",77,19,73,3,"toyota carina","GasGuz"
4,140,"72.00",71,19.5,73,1,"chevrolet vega","GasGuz"
4,108,"94.00",80,16.5,73,3,"datsun 610","GasGuz"
3,70,"90.00",77,13.5,73,3,"maxda rx3","GasGuz"
4,122,"85.00",85,18.5,73,1,"ford pinto","GasGuz"
6,155,"107.0",74,14,73,1,"mercury capri v6","GasGuz"
8,350,"145.0",79,13,73,1,"chevrolet monte carlo s","GasGuz"
8,400,"230.0",82,9.5,73,1,"pontiac grand prix","GasGuz"
4,114,"91.00",77,14,73,2,"audi 100ls","GasGuz"
4,121,"112.0",79,15.5,73,2,"volvo 144ea","GasGuz"
8,318,"150.0",85,11,73,1,"dodge dart custom","GasGuz"
6,156,"122.0",72,13.5,73,3,"toyota mark ii","GasGuz"
8,350,"180.0",82,11,73,1,"oldsmobile omega","GasGuz"
6,198,"95.00",75,16.5,74,1,"plymouth duster","GasGuz"
6,200,"?",82,17,74,1,"ford maverick","GasGuz"
6,232,"100.0",79,16,74,1,"amc hornet","GasGuz"
6,250,"100.0",142,17,74,1,"chevrolet nova","GasGuz"
6,250,"100.0",146,17,74,1,"chevrolet chevelle malibu classic","GasGuz"
6,258,"110.0",146,18,74,1,"amc matador","GasGuz"
6,225,"105.0",78,16.5,74,1,"plymouth satellite sebring","GasGuz"
8,302,"140.0",84,14,74,1,"ford gran torino","GasGuz"
8,350,"150.0",73,14.5,74,1,"buick century luxus (sw)","GasGuz"
8,318,"150.0",81,13.5,74,1,"dodge coronet custom (sw)","GasGuz"
8,302,"140.0",76,16,74,1,"ford gran torino (sw)","GasGuz"
8,304,"150.0",85,15.5,74,1,"amc matador (sw)","GasGuz"
6,225,"95.00",85,16,75,1,"plymouth valiant custom","GasGuz"
6,250,"105.0",83,16,75,1,"chevrolet nova","GasGuz"
6,250,"72.00",77,21,75,1,"mercury monarch","GasGuz"
6,250,"72.00",76,19.5,75,1,"ford maverick","GasGuz"
8,400,"170.0",76,11.5,75,1,"pontiac catalina","GasGuz"
8,350,"145.0",79,14,75,1,"chevrolet bel air","GasGuz"
8,318,"150.0",84,14.5,75,1,"plymouth grand fury","GasGuz"
8,351,"148.0",76,13.5,75,1,"ford ltd","GasGuz"
6,231,"110.0",85,21,75,1,"buick century","GasGuz"
6,250,"105.0",82,18.5,75,1,"chevroelt chevelle malibu","GasGuz"
6,258,"110.0",82,19,75,1,"amc matador","GasGuz"
6,225,"95.00",73,19,75,1,"plymouth fury","GasGuz"
6,231,"110.0",85,15,75,1,"buick skyhawk","GasGuz"
8,262,"110.0",74,13.5,75,1,"chevrolet monza 2+2","GasGuz"
8,302,"129.0",74,12,75,1,"ford mustang ii","GasGuz"
4,140,"83.00",70,17,75,1,"ford pinto","GasGuz"
6,232,"100.0",77,16,75,1,"amc gremlin","GasGuz"
4,140,"78.00",81,18.5,75,1,"pontiac astro","GasGuz"
6,171,"97.00",84,14.5,75,1,"ford pinto","GasGuz"
6,232,"90.00",82,17,75,1,"amc pacer","GasGuz"
4,115,"95.00",78,15,75,2,"audi 100ls","GasGuz"
4,120,"88.00",78,17,75,2,"peugeot 504","GasGuz"
4,121,"98.00",77,14.5,75,2,"volvo 244dl","GasGuz"
8,305,"140.0",70,13,76,1,"chevrolet chevelle malibu classic","GasGuz"
8,318,"150.0",85,13,76,1,"dodge coronet brougham","GasGuz"
8,304,"120.0",72,13.9,76,1,"amc matador","GasGuz"
8,351,"152.0",74,12.8,76,1,"ford gran torino","GasGuz"
6,225,"100.0",75,15.4,76,1,"plymouth valiant","GasGuz"
6,250,"105.0",75,14.5,76,1,"chevrolet nova","GasGuz"
6,232,"90.00",80,17.6,76,1,"amc hornet","GasGuz"
6,225,"100.0",80,17.7,76,1,"dodge aspen se","GasGuz"
6,250,"78.00",84,21,76,1,"ford granada ghia","GasGuz"
6,250,"110.0",71,16.2,76,1,"pontiac ventura sj","GasGuz"
6,258,"95.00",79,17.8,76,1,"amc pacer d/l","GasGuz"
4,130,"102.0",72,15.7,76,2,"volvo 245","GasGuz"
8,318,"150.0",72,13.2,76,1,"plymouth volare premier v8","GasGuz"
4,120,"88.00",83,21.9,76,2,"peugeot 504","GasGuz"
6,156,"108.0",75,15.5,76,3,"toyota mark ii","GasGuz"
6,168,"120.0",79,16.7,76,2,"mercedes-benz 280s","GasGuz"
8,350,"180.0",78,12.1,76,1,"cadillac seville","GasGuz"
8,350,"145.0",73,12,76,1,"chevy c10","GasGuz"
8,302,"130.0",76,15,76,1,"ford f108","GasGuz"
8,318,"150.0",72,14,76,1,"dodge d100","GasGuz"
8,305,"145.0",79,12.5,77,1,"chevrolet caprice classic","GasGuz"
8,260,"110.0",78,19,77,1,"oldsmobile cutlass supreme","GasGuz"
8,318,"145.0",70,13.7,77,1,"dodge monaco brougham","GasGuz"
8,302,"130.0",76,14.9,77,1,"mercury cougar brougham","GasGuz"
6,250,"110.0",79,16.4,77,1,"chevrolet concours","GasGuz"
6,231,"105.0",84,16.9,77,1,"buick skylark","GasGuz"
6,225,"100.0",85,17.7,77,1,"plymouth volare custom","GasGuz"
6,250,"98.00",77,19,77,1,"ford granada","GasGuz"
8,400,"180.0",85,11.1,77,1,"pontiac grand prix lj","GasGuz"
8,350,"170.0",70,11.4,77,1,"chevrolet monte carlo landau","GasGuz"
8,400,"190.0",80,12.2,77,1,"chrysler cordoba","GasGuz"
8,351,"149.0",77,14.5,77,1,"ford thunderbird","GasGuz"
6,146,"97.00",71,14.5,77,3,"datsun 810","GasGuz"
4,121,"110.0",80,12.8,77,2,"bmw 320i","GasGuz"
3,80,"110.0",82,13.5,77,3,"mazda rx-4","GasGuz"
8,260,"110.0",84,15.5,78,1,"oldsmobile cutlass salon brougham","GasGuz"
8,318,"140.0",78,13.2,78,1,"dodge diplomat","GasGuz"
8,302,"139.0",71,12.8,78,1,"mercury monarch ghia","GasGuz"
6,231,"105.0",70,19.2,78,1,"pontiac phoenix lj","GasGuz"
6,200,"95.00",83,18.2,78,1,"chevrolet malibu","GasGuz"
6,200,"85.00",77,15.8,78,1,"ford fairmont (auto)","GasGuz"
6,225,"100.0",74,17.2,78,1,"plymouth volare","GasGuz"
6,232,"90.00",70,17.2,78,1,"amc concord","GasGuz"
6,231,"105.0",81,15.8,78,1,"buick century special","GasGuz"
6,200,"85.00",75,16.7,78,1,"mercury zephyr","GasGuz"
6,225,"110.0",85,18.7,78,1,"dodge aspen","GasGuz"
6,258,"120.0",80,15.1,78,1,"amc concord d/l","GasGuz"
