"Title","OS visits to the UK: Thousands - SA"
"CDID","GMAT"
"Source dataset ID","OTT"
"PreUnit",""
"Unit",""
"Release date","23-01-2018"
"Next release","  22 March 2018"
"Important notes",
"1986","13897"
"1987","15566"
"1988","15799"
"1989","17339"
"1990","18018"
"1991","17124"
"1992","18533"
"1993","19867"
"1994","20730"
"1995","23520"
"1996","25260"
"1997","25590"
"1998","25790"
"1999","25410"
"2000","25190"
"2001","22820"
"2002","24350"
"2003","24820"
"2004","27630"
"2005","29980"
"2006","32680"
"2007","32780"
"2008","32000"
"2009","29870"
"2010","29800"
"2011","30760"
"2012","31160"
"2013","32700"
"2014","34360"
"2015","36090"
"2016","37640"
"1986 Q1","3477"
"1986 Q2","3349"
"1986 Q3","3557"
"1986 Q4","3514"
"1987 Q1","3674"
"1987 Q2","3985"
"1987 Q3","4035"
"1987 Q4","3872"
"1988 Q1","3778"
"1988 Q2","4004"
"1988 Q3","3981"
"1988 Q4","4036"
"1989 Q1","4469"
"1989 Q2","4230"
"1989 Q3","4240"
"1989 Q4","4400"
"1990 Q1","4625"
"1990 Q2","4361"
"1990 Q3","4606"
"1990 Q4","4426"
"1991 Q1","3830"
"1991 Q2","4296"
"1991 Q3","4448"
"1991 Q4","4550"
"1992 Q1","4636"
"1992 Q2","4732"
"1992 Q3","4516"
"1992 Q4","4649"
"1993 Q1","4915"
"1993 Q2","5022"
"1993 Q3","5018"
"1993 Q4","4912"
"1994 Q1","5140"
"1994 Q2","5030"
"1994 Q3","5220"
"1994 Q4","5340"
"1995 Q1","5590"
"1995 Q2","5730"
"1995 Q3","6010"
"1995 Q4","6190"
"1996 Q1","6160"
"1996 Q2","6420"
"1996 Q3","6470"
"1996 Q4","6210"
"1997 Q1","6390"
"1997 Q2","6150"
"1997 Q3","6490"
"1997 Q4","6560"
"1998 Q1","6240"
"1998 Q2","6480"
"1998 Q3","6390"
"1998 Q4","6680"
"1999 Q1","6430"
"1999 Q2","6420"
"1999 Q3","6320"
"1999 Q4","6240"
"2000 Q1","6340"
"2000 Q2","6380"
"2000 Q3","6320"
"2000 Q4","6150"
"2001 Q1","6200"
"2001 Q2","5960"
"2001 Q3","5580"
"2001 Q4","5080"
"2002 Q1","5740"
"2002 Q2","6220"
"2002 Q3","6190"
"2002 Q4","6200"
"2003 Q1","6100"
"2003 Q2","5810"
"2003 Q3","6290"
"2003 Q4","6620"
"2004 Q1","6710"
"2004 Q2","6730"
"2004 Q3","7000"
"2004 Q4","7190"
"2005 Q1","7450"
"2005 Q2","7580"
"2005 Q3","7400"
"2005 Q4","7550"
"2006 Q1","7680"
"2006 Q2","8160"
"2006 Q3","8730"
"2006 Q4","8110"
"2007 Q1","8080"
"2007 Q2","8180"
"2007 Q3","8060"
"2007 Q4","8460"
"2008 Q1","8650"
"2008 Q2","8050"
"2008 Q3","7970"
"2008 Q4","7330"
"2009 Q1","7540"
"2009 Q2","7550"
"2009 Q3","7390"
"2009 Q4","7390"
"2010 Q1","7280"
"2010 Q2","7260"
"2010 Q3","7650"
"2010 Q4","7610"
"2011 Q1","7580"
"2011 Q2","7740"
"2011 Q3","7780"
"2011 Q4","7660"
"2012 Q1","7790"
"2012 Q2","7780"
"2012 Q3","7510"
"2012 Q4","8080"
"2013 Q1","7930"
"2013 Q2","8120"
"2013 Q3","8310"
"2013 Q4","8340"
"2014 Q1","8420"
"2014 Q2","8710"
"2014 Q3","8720"
"2014 Q4","8510"
"2015 Q1","8610"
"2015 Q2","9180"
"2015 Q3","9110"
"2015 Q4","9190"
"2016 Q1","9230"
"2016 Q2","9150"
"2016 Q3","9250"
"2016 Q4","10010"
"2017 Q1","10070"
"2017 Q2","10050"
"2017 Q3","9570"
"1986 JAN","1144"
"1986 FEB","1195"
"1986 MAR","1139"
"1986 APR","1116"
"1986 MAY","1143"
"1986 JUN","1090"
"1986 JUL","1143"
"1986 AUG","1253"
"1986 SEP","1161"
"1986 OCT","1194"
"1986 NOV","1190"
"1986 DEC","1130"
"1987 JAN","1282"
"1987 FEB","1130"
"1987 MAR","1261"
"1987 APR","1295"
"1987 MAY","1361"
"1987 JUN","1328"
"1987 JUL","1323"
"1987 AUG","1384"
"1987 SEP","1328"
"1987 OCT","1330"
"1987 NOV","1252"
"1987 DEC","1289"
"1988 JAN","1286"
"1988 FEB","1265"
"1988 MAR","1227"
"1988 APR","1386"
"1988 MAY","1223"
"1988 JUN","1394"
"1988 JUL","1338"
"1988 AUG","1294"
"1988 SEP","1349"
"1988 OCT","1342"
"1988 NOV","1361"
"1988 DEC","1333"
"1989 JAN","1420"
"1989 FEB","1413"
"1989 MAR","1636"
"1989 APR","1388"
"1989 MAY","1402"
"1989 JUN","1440"
"1989 JUL","1424"
"1989 AUG","1401"
"1989 SEP","1415"
"1989 OCT","1441"
"1989 NOV","1469"
"1989 DEC","1490"
"1990 JAN","1505"
"1990 FEB","1573"
"1990 MAR","1547"
"1990 APR","1383"
"1990 MAY","1470"
"1990 JUN","1507"
"1990 JUL","1551"
"1990 AUG","1478"
"1990 SEP","1577"
"1990 OCT","1535"
"1990 NOV","1479"
"1990 DEC","1412"
"1991 JAN","1312"
"1991 FEB","1260"
"1991 MAR","1259"
"1991 APR","1395"
"1991 MAY","1481"
"1991 JUN","1421"
"1991 JUL","1438"
"1991 AUG","1462"
"1991 SEP","1548"
"1991 OCT","1506"
"1991 NOV","1563"
"1991 DEC","1481"
"1992 JAN","1590"
"1992 FEB","1525"
"1992 MAR","1521"
"1992 APR","1665"
"1992 MAY","1534"
"1992 JUN","1533"
"1992 JUL","1458"
"1992 AUG","1559"
"1992 SEP","1499"
"1992 OCT","1494"
"1992 NOV","1463"
"1992 DEC","1691"
"1993 JAN","1561"
"1993 FEB","1739"
"1993 MAR","1615"
"1993 APR","1725"
"1993 MAY","1734"
"1993 JUN","1563"
"1993 JUL","1676"
"1993 AUG","1752"
"1993 SEP","1589"
"1993 OCT","1595"
"1993 NOV","1670"
"1993 DEC","1647"
"1994 JAN","1630"
"1994 FEB","1710"
"1994 MAR","1800"
"1994 APR","1630"
"1994 MAY","1660"
"1994 JUN","1740"
"1994 JUL","1680"
"1994 AUG","1740"
"1994 SEP","1800"
"1994 OCT","1780"
"1994 NOV","1800"
"1994 DEC","1760"
"1995 JAN","1920"
"1995 FEB","1850"
"1995 MAR","1820"
"1995 APR","2050"
"1995 MAY","1850"
"1995 JUN","1830"
"1995 JUL","1950"
"1995 AUG","2020"
"1995 SEP","2040"
"1995 OCT","2050"
"1995 NOV","2140"
"1995 DEC","2000"
"1996 JAN","1960"
"1996 FEB","2100"
"1996 MAR","2100"
"1996 APR","2080"
"1996 MAY","2150"
"1996 JUN","2190"
"1996 JUL","2200"
"1996 AUG","2120"
"1996 SEP","2150"
"1996 OCT","2100"
"1996 NOV","1950"
"1996 DEC","2160"
"1997 JAN","2130"
"1997 FEB","2080"
"1997 MAR","2180"
"1997 APR","1980"
"1997 MAY","2070"
"1997 JUN","2100"
"1997 JUL","2320"
"1997 AUG","2080"
"1997 SEP","2090"
"1997 OCT","2060"
"1997 NOV","2160"
"1997 DEC","2340"
"1998 JAN","2110"
"1998 FEB","2100"
"1998 MAR","2030"
"1998 APR","2180"
"1998 MAY","2280"
"1998 JUN","2020"
"1998 JUL","2100"
"1998 AUG","2170"
"1998 SEP","2120"
"1998 OCT","2250"
"1998 NOV","2090"
"1998 DEC","2340"
"1999 JAN","2150"
"1999 FEB","2160"
"1999 MAR","2120"
"1999 APR","2120"
"1999 MAY","2150"
"1999 JUN","2150"
"1999 JUL","2040"
"1999 AUG","2210"
"1999 SEP","2070"
"1999 OCT","2070"
"1999 NOV","2180"
"1999 DEC","1990"
"2000 JAN","2070"
"2000 FEB","2190"
"2000 MAR","2080"
"2000 APR","2170"
"2000 MAY","2180"
"2000 JUN","2030"
"2000 JUL","2110"
"2000 AUG","2110"
"2000 SEP","2100"
"2000 OCT","2050"
"2000 NOV","2000"
"2000 DEC","2100"
"2001 JAN","2010"
"2001 FEB","2090"
"2001 MAR","2100"
"2001 APR","2000"
"2001 MAY","1920"
"2001 JUN","2040"
"2001 JUL","1890"
"2001 AUG","1810"
"2001 SEP","1880"
"2001 OCT","1660"
"2001 NOV","1840"
"2001 DEC","1580"
"2002 JAN","1940"
"2002 FEB","1810"
"2002 MAR","1990"
"2002 APR","2220"
"2002 MAY","1920"
"2002 JUN","2080"
"2002 JUL","2180"
"2002 AUG","1990"
"2002 SEP","2020"
"2002 OCT","2100"
"2002 NOV","2010"
"2002 DEC","2090"
"2003 JAN","2160"
"2003 FEB","2000"
"2003 MAR","1940"
"2003 APR","1810"
"2003 MAY","1730"
"2003 JUN","2270"
"2003 JUL","2020"
"2003 AUG","2120"
"2003 SEP","2150"
"2003 OCT","2210"
"2003 NOV","2220"
"2003 DEC","2190"
"2004 JAN","2130"
"2004 FEB","2370"
"2004 MAR","2210"
"2004 APR","2260"
"2004 MAY","2220"
"2004 JUN","2250"
"2004 JUL","2280"
"2004 AUG","2440"
"2004 SEP","2280"
"2004 OCT","2280"
"2004 NOV","2350"
"2004 DEC","2560"
"2005 JAN","2510"
"2005 FEB","2460"
"2005 MAR","2480"
"2005 APR","2320"
"2005 MAY","2610"
"2005 JUN","2650"
"2005 JUL","2470"
