Google Flu Trends - Australia
Copyright 2015 Google Inc.

Exported data may be used for any purpose, subject to the Google Terms of Service (http://www.google.com/accounts/TOS?hl=en_US).
If you choose to use the data, please attribute it to Google as follows: "Data Source: Google Flu Trends (http://www.google.org/flutrends)".

Each week begins on the Sunday (Pacific Time) indicated for the row.
Data for the current week will be updated each day until Saturday (Pacific Time).
Note: To open these files in a spreadsheet application, we recommend you save each text file as a CSV spreadsheet.
For more information, please visit http://www.google.org/flutrends

Date,Australia,Australian Capital Territory,New South Wales,Queensland,South Australia,Victoria,Western Australia
2006-01-01,163,,151,190,183,202,121
2006-01-08,174,104,170,189,162,169,214
2006-01-15,136,96,139,186,165,109,135
2006-01-22,121,143,119,142,107,129,99
2006-01-29,127,149,121,156,118,119,77
2006-02-05,164,107,194,170,137,148,99
2006-02-12,157,168,188,193,137,124,139
2006-02-19,197,166,217,228,174,235,121
2006-02-26,235,423,238,222,157,246,134
2006-03-05,278,346,294,386,212,252,190
2006-03-12,305,377,352,334,269,255,281
2006-03-19,261,279,334,231,275,189,181
2006-03-26,297,206,323,379,304,234,171
2006-04-02,356,352,417,319,349,317,167
2006-04-09,324,356,316,327,504,295,266
2006-04-16,281,192,290,261,296,268,242
2006-04-23,319,278,228,363,402,367,317
2006-04-30,367,356,284,408,228,352,451
2006-05-07,316,523,279,266,506,320,309
2006-05-14,382,265,323,331,581,441,495
2006-05-21,432,410,391,368,330,462,632
2006-05-28,425,511,366,414,476,494,513
2006-06-04,406,625,317,397,402,460,474
2006-06-11,410,403,403,400,274,492,424
2006-06-18,476,656,448,391,473,528,577
2006-06-25,523,585,540,497,446,557,457
2006-07-02,567,578,611,434,612,613,535
2006-07-09,512,535,505,418,609,497,399
2006-07-16,621,1065,657,441,492,762,560
2006-07-23,670,708,594,537,663,872,669
2006-07-30,742,687,638,607,694,904,752
2006-08-06,765,1302,692,814,654,823,425
2006-08-13,796,863,824,695,879,928,472
2006-08-20,704,761,756,845,909,685,296
2006-08-27,749,677,794,864,1100,714,429
2006-09-03,570,652,610,696,586,500,424
2006-09-10,507,696,550,511,535,448,485
2006-09-17,457,509,512,582,451,341,345
2006-09-24,356,326,378,368,451,323,293
2006-10-01,274,217,302,268,274,258,261
2006-10-08,281,432,274,375,274,225,324
2006-10-15,253,153,240,286,393,216,251
2006-10-22,219,218,205,228,377,213,177
2006-10-29,222,311,215,215,357,224,139
2006-11-05,184,171,167,215,178,182,198
2006-11-12,211,177,211,291,177,183,214
2006-11-19,178,213,184,236,146,168,129
2006-11-26,130,113,132,137,127,139,94
2006-12-03,128,198,146,136,80,105,139
2006-12-10,113,262,120,107,101,114,94
2006-12-17,121,197,162,122,60,104,148
2006-12-24,165,194,203,169,119,148,124
2006-12-31,136,119,142,87,71,119,50
2007-01-07,128,135,133,111,43,83,84
2007-01-14,109,75,153,73,40,54,50
2007-01-21,99,42,90,82,46,78,72
2007-01-28,105,53,133,73,45,61,51
2007-02-04,134,102,147,98,75,90,87
2007-02-11,138,80,136,126,59,92,92
2007-02-18,163,74,167,156,90,133,82
2007-02-25,193,70,223,175,74,134,122
2007-03-04,222,69,228,162,106,176,140
2007-03-11,242,269,276,229,109,140,109
2007-03-18,235,185,248,192,188,171,108
2007-03-25,281,131,262,307,262,210,131
2007-04-01,191,348,202,222,324,143,133
2007-04-08,232,532,275,175,283,213,211
2007-04-15,314,1004,329,362,244,267,229
2007-04-22,274,277,281,257,406,224,295
2007-04-29,340,421,347,374,398,281,246
2007-05-06,362,334,385,247,374,343,424
2007-05-13,382,652,317,342,717,359,447
2007-05-20,480,514,440,436,502,403,772
2007-05-27,477,327,500,476,406,492,440
2007-06-03,520,611,569,495,489,521,374
2007-06-10,578,550,623,547,646,493,615
2007-06-17,607,901,715,521,642,508,513
2007-06-24,632,1048,802,488,538,435,874
2007-07-01,1065,1569,1610,955,861,559,1360
2007-07-08,1300,2376,1966,1096,972,820,1693
2007-07-15,1495,4044,2135,1569,847,848,1943
2007-07-22,1566,5454,1853,2361,1254,973,1302
2007-07-29,2027,4037,1979,3771,1783,1451,1182
2007-08-05,2680,6175,2549,5398,2386,2312,1240
2007-08-12,2854,7172,2440,4504,3383,3229,2118
2007-08-19,1993,6901,1477,3715,3632,2695,2019
2007-08-26,1345,2050,1032,2587,2020,2042,1324
2007-09-02,847,1416,629,1653,1115,1234,1210
2007-09-09,685,769,532,1204,871,991,848
2007-09-16,574,629,512,621,602,795,669
2007-09-23,499,557,520,581,417,492,585
2007-09-30,392,361,333,348,268,445,375
2007-10-07,379,450,289,372,320,390,375
2007-10-14,371,346,307,334,426,379,281
2007-10-21,276,436,225,260,221,245,238
2007-10-28,285,291,238,194,235,235,217
2007-11-04,224,197,185,156,97,165,190
2007-11-11,202,104,190,138,64,202,74
2007-11-18,202,94,219,131,56,139,111
2007-11-25,172,126,144,133,57,148,59
2007-12-02,156,110,130,100,53,145,68
2007-12-09,123,96,118,70,44,87,51
2007-12-16,152,78,144,128,43,92,68
2007-12-23,131,83,129,84,35,71,36
2007-12-30,141,189,160,121,42,125,64
2008-01-06,167,221,172,209,56,175,140
2008-01-13,108,181,119,105,48,122,71
2008-01-20,107,132,146,105,57,111,108
2008-01-27,126,144,155,120,81,92,108
2008-02-03,141,166,138,192,127,96,104
2008-02-10,144,186,162,181,126,108,89
2008-02-17,185,186,237,181,148,142,112
2008-02-24,206,215,204,267,122,178,172
2008-03-02,269,230,263,363,228,234,205
2008-03-09,293,308,351,340,234,223,216
2008-03-16,214,431,237,268,98,166,183
2008-03-23,258,336,245,376,223,227,184
2008-03-30,252,247,281,293,277,199,181
2008-04-06,288,306,292,299,288,273,201
2008-04-13,325,337,315,427,340,301,192
2008-04-20,323,523,302,424,374,298,202
2008-04-27,448,585,471,464,380,431,362
2008-05-04,472,404,489,524,363,478,376
2008-05-11,488,529,476,515,460,475,541
2008-05-18,487,472,472,490,504,397,633
2008-05-25,497,320,474,525,521,479,660
2008-06-01,448,308,431,547,540,455,264
2008-06-08,467,406,575,441,453,372,324
2008-06-15,475,564,542,467,491,413,362
2008-06-22,454,465,557,420,285,423,330
2008-06-29,406,495,486,331,278,337,455
2008-07-06,503,550,576,524,437,388,514
2008-07-13,523,513,537,560,623,427,463
2008-07-20,534,739,529,631,469,472,436
2008-07-27,657,813,661,739,472,576,492
