Date,Mkt-RF,SMB,HML,RF
200701,1.4,0.1,-0.11,0.44
200702,-1.96,1.32,-0.09,0.38
200703,0.68,-0.06,-0.22,0.43
200704,3.49,-2.06,-1.15,0.44
200705,3.24,0.03,-0.05,0.41
200706,-1.96,0.77,-1.13,0.4
200707,-3.73,-2.51,-3.34,0.4
200708,0.92,-0.13,-2.24,0.42
200709,3.22,-2.29,-1.87,0.32
200710,1.8,0.22,-2.59,0.32
200711,-4.83,-2.63,-1.18,0.34
200712,-0.87,0.2,-0.52,0.27
200801,-6.36,-0.89,3.65,0.21
200802,-3.09,-0.23,-0.95,0.13
200803,-0.93,0.94,-0.15,0.17
200804,4.6,-1.64,-0.96,0.18
200805,1.86,3.21,-1.38,0.18
200806,-8.44,1.27,-2.43,0.17
200807,-0.77,2.47,5.81,0.15
200808,1.53,3.61,1.56,0.13
200809,-9.24,-1.13,6.33,0.15
200810,-17.23,-2.33,-2.89,0.08
200811,-7.86,-2.99,-5.94,0.03
200812,1.74,3.59,-0.24,0
200901,-8.12,-0.01,-11.1,0
200902,-10.1,0.17,-7.25,0.01
200903,8.95,-0.09,3.53,0.02
200904,10.19,4.83,5.46,0.01
200905,5.21,-2.33,-0.21,0
200906,0.43,2.61,-2.71,0.01
200907,7.72,2.07,5.28,0.01
200908,3.33,-0.9,7.76,0.01
200909,4.08,2.45,0.92,0.01
200910,-2.59,-4.22,-4.17,0
200911,5.56,-2.49,-0.17,0
200912,2.75,6.11,0.01,0.01
201001,-3.36,0.38,0.31,0
201002,3.4,1.2,3.16,0
201003,6.31,1.42,2.1,0.01
201004,2,4.98,2.81,0.01
201005,-7.89,0.05,-2.38,0.01
201006,-5.56,-1.97,-4.5,0.01
201007,6.93,0.16,-0.27,0.01
201008,-4.77,-3,-1.95,0.01
201009,9.54,3.92,-3.12,0.01
201010,3.88,1.15,-2.59,0.01
201011,0.6,3.7,-0.9,0.01
201012,6.82,0.7,3.81,0.01
201101,1.99,-2.47,0.81,0.01
201102,3.49,1.52,1.09,0.01
201103,0.45,2.6,-1.55,0.01
201104,2.9,-0.34,-2.51,0
201105,-1.27,-0.7,-2.06,0
201106,-1.75,-0.18,-0.31,0
201107,-2.36,-1.31,-1.23,0
201108,-5.99,-3.06,-2.44,0.01
201109,-7.59,-3.48,-1.46,0
201110,11.35,3.41,-0.17,0
201111,-0.28,-0.17,-0.35,0
201112,0.74,-0.71,1.74,0
201201,5.05,2.15,-1.09,0
201202,4.42,-1.75,0.09,0
201203,3.11,-0.61,0.87,0
201204,-0.85,-0.52,-0.47,0
201205,-6.19,0.02,-0.62,0.01
201206,3.89,0.77,0.44,0
201207,0.79,-2.58,-0.25,0
201208,2.55,0.41,1.28,0.01
201209,2.73,0.5,1.52,0.01
201210,-1.76,-1.14,3.79,0.01
201211,0.78,0.59,-0.96,0.01
201212,1.18,1.47,3.55,0.01
201301,5.57,0.39,0.92,0
201302,1.29,-0.45,0,0
201303,4.03,0.79,-0.26,0
201304,1.55,-2.44,0.59,0
201305,2.8,1.67,2.55,0
201306,-1.2,1.22,-0.19,0
201307,5.65,1.86,0.55,0
201308,-2.71,0.3,-2.78,0
201309,3.77,2.94,-1.18,0
201310,4.18,-1.49,1.15,0
201311,3.12,1.24,0.24,0
201312,2.81,-0.5,-0.3,0
201401,-3.32,0.87,-2.08,0
201402,4.65,0.33,-0.39,0
201403,0.43,-1.89,5.09,0
201404,-0.19,-4.25,1.14,0
201405,2.06,-1.83,-0.26,0
201406,2.61,3.06,-0.74,0
201407,-2.04,-4.23,0.01,0
201408,4.24,0.37,-0.57,0
201409,-1.97,-3.82,-1.22,0
201410,2.52,4.23,-1.69,0
201411,2.55,-2.06,-2.99,0
201412,-0.06,2.54,2.07,0
201501,-3.11,-0.57,-3.47,0
201502,6.13,0.53,-1.77,0
201503,-1.12,3.05,-0.45,0
201504,0.59,-2.97,1.85,0
201505,1.36,0.94,-1.33,0
201506,-1.53,2.81,-0.81,0
201507,1.54,-4.15,-4.14,0
201508,-6.04,0.49,2.69,0
201509,-3.08,-2.64,0.53,0
201510,7.75,-1.98,-0.09,0
201511,0.56,3.64,-0.51,0
201512,-2.17,-2.81,-2.57,0.01
201601,-5.77,-3.39,2.1,0.01
201602,-0.07,0.78,-0.48,0.02
201603,6.96,0.89,1.14,0.02
201604,0.92,0.67,3.25,0.01
201605,1.78,-0.26,-1.8,0.01
201606,-0.05,0.65,-1.49,0.02
201607,3.95,2.64,-1.13,0.02
201608,0.5,1.17,3.34,0.02
201609,0.25,2.01,-1.49,0.02
201610,-2.02,-4.36,4.16,0.02
201611,4.86,5.48,8.27,0.01
201612,1.82,0.08,3.61,0.03
201701,1.94,-1.05,-2.68,0.04
201702,3.57,-1.99,-1.79,0.04
201703,0.17,1.2,-3.17,0.03
201704,1.09,0.73,-1.91,0.05
201705,1.06,-2.54,-3.75,0.06
201706,0.78,2.15,1.32,0.06
201707,1.87,-1.42,-0.28,0.07
201708,0.16,-1.71,-2.26,0.09
201709,2.51,4.53,3.02,0.09
201710,2.25,-1.95,-0.08,0.09
201711,3.12,-0.63,0.02,0.08
201712,1.06,-1.27,0.11,0.09
